,district_id,state,locale,pp_total_raw,poverty_rate,Income,avg_black_hispanic,avg_reduced_lunch,avg_spent_per_pupil
0,8815,Illinois,Suburb,"[14000, 16000[",11.5,73753.0,0.1,0.1,15000.0
2,4921,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.30000000000000004,7000.0
5,5987,Wisconsin,Suburb,"[10000, 12000[",10.4,67094.0,0.1,0.1,11000.0
6,3710,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.5,7000.0
7,7177,North Carolina,Suburb,"[8000, 10000[",13.6,60266.0,0.30000000000000004,0.30000000000000004,9000.0
8,9812,Utah,Suburb,"[6000, 8000[",8.9,83670.0,0.1,0.30000000000000004,7000.0
9,6584,North Carolina,Rural,"[8000, 10000[",13.6,60266.0,0.5,0.7,9000.0
10,1044,Missouri,Suburb,"[10000, 12000[",12.9,61901.0,0.1,0.1,11000.0
11,7457,Washington,City,"[12000, 14000[",9.8,81083.0,0.5,0.5,13000.0
12,1904,Connecticut,Rural,"[20000, 22000[",10.0,79043.0,0.1,0.1,21000.0
13,5527,Massachusetts,Suburb,"[16000, 18000[",9.4,86725.0,0.1,0.30000000000000004,17000.0
14,2257,New York,Rural,"[20000, 22000[",13.0,68304.0,0.1,0.30000000000000004,21000.0
15,7614,Utah,City,"[8000, 10000[",8.9,83670.0,0.30000000000000004,0.30000000000000004,9000.0
16,4808,Indiana,City,"[8000, 10000[",11.9,66360.0,0.9,0.9,9000.0
18,1877,Illinois,Rural,"[12000, 14000[",11.5,73753.0,0.1,0.1,13000.0
20,2779,Illinois,Rural,"[10000, 12000[",11.5,73753.0,0.1,0.1,11000.0
21,8328,Utah,Town,"[10000, 12000[",8.9,83670.0,0.1,0.5,11000.0
22,8539,Connecticut,Suburb,"[20000, 22000[",10.0,79043.0,0.30000000000000004,0.5,21000.0
24,9043,Illinois,Suburb,"[12000, 14000[",11.5,73753.0,0.9,0.9,13000.0
26,1549,Virginia,Suburb,"[10000, 12000[",9.9,81947.0,0.1,0.30000000000000004,11000.0
27,4051,Missouri,Suburb,"[10000, 12000[",12.9,61901.0,0.1,0.30000000000000004,11000.0
