,LP ID,URL,Product Name,Provider/Company Name,Sector(s),Primary Essential Function,Category,Sub_Category
0,13117,https://www.splashmath.com,SplashLearn,StudyPad Inc.,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
1,66933,https://abcmouse.com,ABCmouse.com,"Age of Learning, Inc ",PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
2,50479,https://www.abcya.com,ABCya!,"ABCya.com, LLC",PreK-12,"LC - Sites, Resources & Reference - Games & Simulations",LC ,"Sites, Resources & References"
3,92993,http://www.aleks.com/,ALEKS,McGraw-Hill PreK-12,PreK-12; Higher Ed,LC - Digital Learning Platforms,LC , Digital Learning Platforms
4,73104,https://www.achieve3000.com/,Achieve3000,Achieve3000,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
5,37600,http://www.activelylearn.com/,Actively Learn,Actively Learn,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
6,18663,http://www.adaptedmind.com,AdaptedMind,GloWorld,PreK-12,LC - Digital Learning Platforms,LC , Digital Learning Platforms
7,65131,http://www.amplify.com/,Amplify,"Amplify Education, Inc.",PreK-12,LC - Courseware & Textbooks,LC , Courseware & Textbooks
8,26491,http://www.answers.com/,Answers,Answers,PreK-12; Higher Ed,LC - Study Tools - Q&A,LC ,Study Tools
9,56441,http://www.audible.com,Audible,"Amazon.com, Inc. ",PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Streaming Services",LC ,"Sites, Resources & References"
10,89802,http://bartleby.com/,Bartleby,Bartleby,PreK-12; Higher Ed,LC - Study Tools,LC ,Study Tools
11,72703,http://betterlesson.com/,Better Lesson,BetterLesson,PreK-12; Higher Ed,CM - Teacher Resources - Professional Learning,CM , Teacher Resources 
12,76889,https://www.blackboard.com/,Blackboard,Blackboard Inc,PreK-12; Higher Ed,SDO - Learning Management Systems (LMS),SDO , Learning Management Systems (LMS)
13,49563,https://bookcreator.com/,Book Creator,"Tools for Schools, Inc. (Book Creator)",PreK-12,LC - Content Creation & Curation,LC , Content Creation & Curation
